latent_variable_dim_1,latent_variable_dim_2,mu_dim_1,mu_dim_2,log_var_dim_1,log_var_dim_2
-0.12872504,0.07962903,-0.13005671,0.06746112,-9.963033,-10.359394
-0.19638088,0.071367025,-0.19560993,0.06873466,-10.815823,-11.552492
-0.2049828,0.07089896,-0.1958499,0.06884746,-10.700972,-11.525974
-0.19893204,0.06627903,-0.1958499,0.06884746,-10.700972,-11.525974
-0.19334427,0.06484068,-0.1958499,0.06884746,-10.700972,-11.525974
-0.2037381,0.06789454,-0.1958499,0.06884746,-10.700972,-11.525974
-0.19334538,0.06935622,-0.19289628,0.068731055,-10.656952,-11.528478
-0.2011673,0.074683696,-0.1958499,0.06884746,-10.700972,-11.525974
-0.194314,0.07126178,-0.19014987,0.068947464,-10.290208,-11.389655
-0.19206826,0.06874252,-0.1958499,0.06884746,-10.700972,-11.525974
-0.18877037,0.06722474,-0.1958499,0.06884746,-10.700972,-11.525974
-0.1970558,0.07348028,-0.1958499,0.06884746,-10.700972,-11.525974
-0.19739722,0.06520319,-0.1958499,0.06884746,-10.700972,-11.525974
-0.1846728,0.06667199,-0.1958499,0.06884746,-10.700972,-11.525974
-0.19497788,0.06512921,-0.1958499,0.06884746,-10.700972,-11.525974
-0.20970601,0.062936306,-0.20038316,0.068658404,-10.529331,-11.242647
-0.19065213,0.07313591,-0.19437024,0.06877118,-10.837205,-11.568557
-0.19150215,0.07007912,-0.19437024,0.06877118,-10.837205,-11.568557
-0.20141588,0.07068522,-0.19437024,0.06877118,-10.837205,-11.568557
-0.18661927,0.06703972,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19019163,0.069012076,-0.19437024,0.06877118,-10.837205,-11.568557
-0.19399492,0.06833806,-0.19437024,0.06877118,-10.837205,-11.568557
-0.19291906,0.06727439,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19943039,0.06939243,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19681843,0.06719031,-0.19517455,0.06886164,-10.632298,-11.502594
-0.19948512,0.070113495,-0.19517455,0.06886164,-10.632298,-11.502594
-0.19436924,0.068233274,-0.19517455,0.06886164,-10.632298,-11.502594
-0.19021177,0.06457604,-0.19517455,0.06886164,-10.632298,-11.502594
-0.1968925,0.06681374,-0.19517455,0.06886164,-10.632298,-11.502594
-0.19298011,0.067154355,-0.19517455,0.06886164,-10.632298,-11.502594
-0.18852197,0.066400655,-0.19457042,0.0689798,-10.649865,-11.510469
-0.19318493,0.06762129,-0.19438237,0.06896807,-10.683759,-11.519348
-0.1890959,0.0654919,-0.19438237,0.06896807,-10.683759,-11.519348
-0.19187158,0.06491237,-0.19457042,0.0689798,-10.649865,-11.510469
-0.19642821,0.07060704,-0.19457042,0.0689798,-10.649865,-11.510469
-0.19390278,0.0697833,-0.19438237,0.06896807,-10.683759,-11.519348
-0.19277936,0.07614935,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19434863,0.073995605,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19983341,0.07203233,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19657817,0.07145098,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19714095,0.06691525,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19781213,0.067527905,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19649702,0.06780301,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19364922,0.070467226,-0.1944569,0.06909719,-10.746859,-11.556026
-0.18555407,0.06455246,-0.18785945,0.06827378,-10.786136,-11.579817
-0.1957179,0.06995307,-0.1944569,0.06909719,-10.746859,-11.556026
-0.20113505,0.06709692,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19410965,0.069697216,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19169249,0.06981583,-0.1944569,0.06909719,-10.746859,-11.556026
-0.18901299,0.066821404,-0.19457042,0.0689798,-10.649865,-11.510469
-0.20229575,0.0689871,-0.19438237,0.06896807,-10.683759,-11.519348
-0.18776938,0.07297263,-0.19438237,0.06896807,-10.683759,-11.519348
-0.19434913,0.06507342,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19793992,0.0702597,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19699605,0.06897451,-0.1944569,0.06909719,-10.746859,-11.556026
-0.1941744,0.05943525,-0.18605024,0.06974513,-9.123423,-10.983395
-0.17873915,0.0693587,-0.18605024,0.06974513,-9.123423,-10.983395
-0.17907642,0.07062391,-0.17599413,0.068574175,-8.501584,-10.775923
-0.19464874,0.06900044,-0.19292632,0.06893046,-10.418916,-11.4681425
-0.18950902,0.069727875,-0.19292632,0.06893046,-10.418916,-11.4681425
-0.18883571,0.068552345,-0.19292632,0.06893046,-10.418916,-11.4681425
-0.19493076,0.06754642,-0.1944569,0.06909719,-10.746859,-11.556026
-0.19679867,0.065361105,-0.1944569,0.06909719,-10.746859,-11.556026
